InvEventFK,Cluster
CB13-0001,Shallow_8
CB13-0009,Shallow_3
CB13-0010,Shallow_2
CB13-0013,Shallow_3
CB13-0025,Shallow_4
CB13-0026,Shallow_2
CB13-0027,Shallow_4
CB13-0029,Shallow_4
CB13-0031,Shallow_6
CB13-0032,Shallow_8
CB13-0033,Shallow_7
CB13-0041,Shallow_2
CB13-0045,Shallow_4
CB13-0048,Shallow_8
CB13-0053,Shallow_3
CB13-0054,Shallow_2
CB13-0057,Shallow_4
CB13-0058,Shallow_2
CB13-0064,Shallow_8
CB13-0065,Shallow_8
CB13-0069,Shallow_7
CB13-0074,Shallow_2
CB13-0075,Shallow_4
CB13-0077,Shallow_4
CB13-0083,Shallow_2
CB13-0085,Shallow_3
CB13-0086,Shallow_6
CB13-0088,Shallow_6
CB13-0090,Shallow_2
CB13-0091,Shallow_4
CB13-0092,Shallow_6
CB13-0093,Shallow_3
CB13-0094,Shallow_5
CB13-0095,Shallow_8
CB13-0097,Shallow_7
CB13-0100,Shallow_7
CB13-0101,Shallow_3
CB13-0105,Shallow_2
CB13-0107,Shallow_4
CB13-0109,Shallow_4
CB13-0117,Shallow_3
CB13-0118,Shallow_2
CB13-0121,Shallow_4
CB13-0126,Shallow_5
CB13-0129,Shallow_8
CB13-0136,Shallow_6
CB13-0138,Shallow_2
CB13-0139,Shallow_4
CB13-0140,Shallow_6
CB13-0141,Shallow_4
CB13-0143,Shallow_6
CB13-0147,Shallow_2
CB13-0149,Shallow_3
CB13-0150,Shallow_6
CB13-0153,Shallow_2
CB13-0155,Shallow_4
CB13-0156,Shallow_6
CB13-0157,Shallow_4
CB13-0158,Shallow_5
CB13-0161,Shallow_7
CB13-0164,Shallow_7
CB13-0167,Shallow_5
CB13-0168,Shallow_6
CB13-0171,Shallow_4
CB13-0174,Shallow_5
CB13-0176,Shallow_8
CB13-0177,Shallow_7
CB13-0180,Shallow_7
CB13-0182,Shallow_2
CB13-0185,Shallow_4
CB13-0193,Shallow_8
CB13-0197,Shallow_7
CB13-0200,Shallow_6
CB13-0202,Shallow_2
CB13-0204,Shallow_6
CB13-0205,Shallow_3
CB13-0207,Shallow_6
CB13-0209,Shallow_7
CB13-0213,Shallow_3
CB13-0224,Shallow_8
CB13-0231,Shallow_5
CB13-0235,Shallow_5
CB13-0238,Shallow_5
CB13-0240,Shallow_8
CB13-0244,Shallow_7
CB13-0257,Shallow_8
CB13-0265,Shallow_3
CB13-0268,Shallow_6
CB13-0269,Shallow_3
CB13-0273,Shallow_8
CB13-0277,Shallow_7
CB13-0280,Shallow_6
CB13-0285,Shallow_3
CB13-0288,Shallow_8
CB13-0293,Shallow_3
CB13-0296,Shallow_6
CB13-0309,Shallow_3
CB13-0325,Shallow_7
CB13-0341,Shallow_3
CB13-0344,Shallow_6
CB13-0349,Shallow_3
CB13-0350,Shallow_5
CB13-0351,Shallow_8
CB13-0353,Shallow_7
CB13-0356,Shallow_7
CB13-0385,Shallow_8
CB13-0404,Shallow_8
CB13-0417,Shallow_7
CB13-0420,Shallow_7
CB13-1501,Shallow_2
CB13-1503,Shallow_1
CB13-1504,Shallow_5
CB13-1532,Shallow_5
CB13-1542,Shallow_1
CB13-1550,Shallow_1
CB13-1557,Shallow_1
CB13-1559,Shallow_5
CB13-1564,Shallow_5
CB13-1565,Shallow_2
CB13-1570,Shallow_1
CB13-1579,Shallow_5
CB13-1580,Shallow_5
CB13-1585,Shallow_1
CB13-1593,Shallow_1
CB13-1598,Shallow_1
CB13-1599,Shallow_1
CB13-1609,Shallow_1
CB13-1614,Shallow_1
CB13-1617,Shallow_1
CB13-1625,Shallow_1
CB13-1626,Shallow_1
CB13-1627,Shallow_5
CB13-1628,Shallow_5
CB13-1631,Shallow_1
CB13-1649,Shallow_1
CB13-1652,Shallow_1
CB13-0002,Deep_4
CB13-0003,Deep_5
CB13-0004,Deep_7
CB13-0005,Deep_6
CB13-0006,Deep_6
CB13-0007,Deep_4
CB13-0008,Deep_8
CB13-0011,Deep_5
CB13-0014,Deep_4
CB13-0015,Deep_7
CB13-0016,Deep_7
CB13-0017,Deep_8
CB13-0018,Deep_6
CB13-0019,Deep_5
CB13-0020,Deep_8
CB13-0021,Deep_8
CB13-0022,Deep_6
CB13-0023,Deep_4
CB13-0024,Deep_7
CB13-0028,Deep_7
CB13-0030,Deep_5
CB13-0034,Deep_6
CB13-0035,Deep_5
CB13-0037,Deep_6
CB13-0038,Deep_4
CB13-0039,Deep_4
CB13-0040,Deep_6
CB13-0042,Deep_4
CB13-0044,Deep_7
CB13-0046,Deep_4
CB13-0047,Deep_7
CB13-0049,Deep_8
CB13-0050,Deep_6
CB13-0051,Deep_4
CB13-0052,Deep_8
CB13-0055,Deep_5
CB13-0056,Deep_7
CB13-0059,Deep_8
CB13-0060,Deep_6
CB13-0061,Deep_4
CB13-0062,Deep_5
CB13-0063,Deep_7
CB13-0066,Deep_4
CB13-0067,Deep_5
CB13-0068,Deep_8
CB13-0070,Deep_6
CB13-0072,Deep_8
CB13-0073,Deep_4
CB13-0076,Deep_7
CB13-0079,Deep_7
CB13-0084,Deep_8
CB13-0087,Deep_4
CB13-0102,Deep_6
CB13-0104,Deep_7
CB13-0111,Deep_8
CB13-0113,Deep_6
CB13-0114,Deep_6
CB13-0115,Deep_4
CB13-0116,Deep_8
CB13-0120,Deep_7
CB13-0123,Deep_8
CB13-0127,Deep_7
CB13-0135,Deep_4
CB13-0144,Deep_7
CB13-0145,Deep_6
CB13-0152,Deep_6
CB13-0162,Deep_6
CB13-0166,Deep_4
CB13-0172,Deep_7
CB13-0175,Deep_7
CB13-0179,Deep_4
CB13-0212,Deep_8
CB13-0264,Deep_8
CB13-0308,Deep_8
CB13-0318,Deep_5
CB13-0328,Deep_8
CB13-0342,Deep_6
CB13-1505,Deep_3
CB13-1506,Deep_1
CB13-1507,Deep_2
CB13-1509,Deep_1
CB13-1510,Deep_2
CB13-1511,Deep_5
CB13-1512,Deep_3
CB13-1513,Deep_1
CB13-1514,Deep_2
CB13-1517,Deep_3
CB13-1518,Deep_1
CB13-1521,Deep_1
CB13-1522,Deep_1
CB13-1526,Deep_2
CB13-1527,Deep_5
CB13-1529,Deep_1
CB13-1530,Deep_2
CB13-1533,Deep_3
CB13-1538,Deep_2
CB13-1540,Deep_3
CB13-1545,Deep_1
CB13-1549,Deep_3
CB13-1551,Deep_2
CB13-1552,Deep_3
CB13-1553,Deep_1
CB13-1554,Deep_2
CB13-1555,Deep_5
CB13-1560,Deep_3
CB13-1562,Deep_2
CB13-1563,Deep_3
CB13-1571,Deep_2
CB13-1572,Deep_3
CB13-1573,Deep_1
CB13-1574,Deep_2
CB13-1575,Deep_3
CB13-1578,Deep_2
CB13-1581,Deep_1
CB13-1587,Deep_2
CB13-1589,Deep_1
CB13-1591,Deep_5
CB13-1594,Deep_2
CB13-1595,Deep_5
CB13-1600,Deep_3
CB13-1603,Deep_5
CB13-1604,Deep_3
CB13-1605,Deep_1
CB13-1607,Deep_5
CB13-1613,Deep_3
CB13-1615,Deep_1
CB13-1618,Deep_2
CB13-1619,Deep_3
CB13-1622,Deep_2
CB13-1629,Deep_5
CB13-1633,Deep_1
CB13-1634,Deep_1
CB13-1640,Deep_3
CB13-1644,Deep_3
CB13-1651,Deep_2
CB13-1673,Deep_1
